title,top_n,overlap_count,overlap_ratio,avg_similarity_old,avg_similarity_v2,old_only_count,v2_only_count,status
Goodbye My Wife,10,4,0.4,0.3365,0.2876,6,6,ok
In Darkness,10,2,0.2,0.1189,0.1379,8,8,ok
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,10,4,0.4,0.1197,0.1073,6,6,ok
My Little Pony Equestria Girls: Friendship Games,10,7,0.7,0.4095,0.2559,3,3,ok
Carnaval,10,5,0.5,0.1246,0.1431,5,5,ok
One Lagos Night,10,3,0.3,0.1099,0.1288,7,7,ok
Fierce,10,2,0.2,0.1953,0.121,8,8,ok
Kurt & Courtney,10,5,0.5,0.1456,0.1343,5,5,ok
Halo: The Fall of Reach,10,5,0.5,0.1263,0.1552,5,5,ok
Alphablocks,10,5,0.5,0.1549,0.1388,5,5,ok
My Fair Lady,10,3,0.3,0.1018,0.1011,7,7,ok
Wheels of Fortune,10,2,0.2,0.1261,0.1177,8,8,ok
ThirTEEN Terrors,10,7,0.7,0.2152,0.1696,3,3,ok
Feminists: What Were They Thinking?,10,9,0.9,0.1424,0.1369,1,1,ok
Maine Pyaar Kyun Kiya,10,5,0.5,0.1803,0.1298,5,5,ok
Good People,10,1,0.1,0.1099,0.1179,9,9,ok
The Green Inferno,10,4,0.4,0.1844,0.1422,6,6,ok
Chief Daddy,10,3,0.3,0.1664,0.1359,7,7,ok
Olmo & the Seagull,10,3,0.3,0.1077,0.1116,7,7,ok
I Have a Script,10,1,0.1,0.1992,0.1385,9,9,ok
A Little Chaos,10,0,0.0,0.1178,0.1113,10,10,ok
Bill Burr: You People Are All the Same,10,6,0.6,0.2882,0.1852,4,4,ok
15 August,10,5,0.5,0.2119,0.2045,5,5,ok
Lommbock,10,1,0.1,0.1345,0.0988,9,9,ok
Frances Ha,10,3,0.3,0.1206,0.1212,7,7,ok
Teen Patti,10,3,0.3,0.1129,0.082,7,7,ok
Bigger Fatter Liar,10,2,0.2,0.1224,0.1169,8,8,ok
Berserk: The Golden Age Arc I - The Egg of the King,10,7,0.7,0.2732,0.2059,3,3,ok
A Private War,10,3,0.3,0.1048,0.1086,7,7,ok
Empire of Scents,10,6,0.6,0.1315,0.1189,4,4,ok
