rank,query,similarity_score,title,type,release_year,rating,listed_in,description,description_preview
1,dark magic and fantasy world,0.517,Shadow,Movie,2018,TV-14,"Action & Adventure, Dramas, International Movies","As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a king's court.","As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangl..."
2,dark magic and fantasy world,0.5047,Light in the Dark,Movie,2019,TV-14,"Dramas, International Movies",A terrifying home invasion shatters a couple's happy family life and brings their marriage to the brink as painful fallout unfolds.,A terrifying home invasion shatters a couple's happy family life and brings their marriage to the brink as painful fallo...
3,dark magic and fantasy world,0.502,The Magicians,TV Show,2020,TV-MA,"TV Dramas, TV Sci-Fi & Fantasy","When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he once read about is very real.","When grad student Quentin Coldwater enters a college specializing in magic, he learns that the mythic fantasy world he o..."
4,dark magic and fantasy world,0.4969,Nightbooks,Movie,2021,TV-PG,Children & Family Movies,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch...
5,dark magic and fantasy world,0.4889,The Crystal Calls Making the Dark Crystal: Age of Resistance,Movie,2019,TV-PG,"Documentaries, International Movies","Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson's magical world of Thra back to life in a sweeping fantasy series.","Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson's magical world of Thra back to life i..."
1,investigating a serial killer,0.5663,Inside the Mind of a Serial Killer,TV Show,2015,TV-14,"Crime TV Shows, Docuseries","Mixing dramatic re-enactments with real-life footage, this series delves into the tormented psyches of the world's most infamous serial killers.","Mixing dramatic re-enactments with real-life footage, this series delves into the tormented psyches of the world's most ..."
2,investigating a serial killer,0.5466,The Investigator: A British Crime Story,TV Show,2018,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","After 40 years of inconclusive evidence, renowned criminologist Mark Williams-Thomas re-examines a string of mysterious murders.","After 40 years of inconclusive evidence, renowned criminologist Mark Williams-Thomas re-examines a string of mysterious ..."
3,investigating a serial killer,0.5318,The Murder Detectives,TV Show,2015,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","This series tracks the ups and downs of an 18-month investigation into the 2014 stabbing murder of teenager Nicholas Robinson in Bristol, England.",This series tracks the ups and downs of an 18-month investigation into the 2014 stabbing murder of teenager Nicholas Rob...
4,investigating a serial killer,0.5271,I AM A KILLER: RELEASED,TV Show,2020,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","In this crime docuseries spinoff, a convict is paroled 30 years after being sentenced to death for murder. Then he makes a stunning confession.","In this crime docuseries spinoff, a convict is paroled 30 years after being sentenced to death for murder. Then he makes..."
5,investigating a serial killer,0.5212,Forensic,Movie,2020,TV-14,"International Movies, Thrillers","A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial killer who targets young girls.","A pair of officers with history navigates clues from the past, false leads and a ticking clock to nab an elusive serial ..."
1,funny stand up comedy,0.6412,Best of Stand-Up 2020,Movie,2020,TV-MA,Stand-Up Comedy,"From Jerry Seinfeld to Leslie Jones, Kevin Hart to Hannah Gadsby, laugh along with the funniest bits from Netflix's 2020 stand-up comedy specials.","From Jerry Seinfeld to Leslie Jones, Kevin Hart to Hannah Gadsby, laugh along with the funniest bits from Netflix's 2020..."
2,funny stand up comedy,0.6295,The Standups,TV Show,2018,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions.","Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and ..."
3,funny stand up comedy,0.612,Kevin Hart: Seriously Funny,Movie,2010,TV-MA,Stand-Up Comedy,"With his unique hip-hop style delivery, African American stand-up comedian Kevin Hart expounds on life at a sold-out concert performance.","With his unique hip-hop style delivery, African American stand-up comedian Kevin Hart expounds on life at a sold-out con..."
4,funny stand up comedy,0.5987,COMEDIANS of the world,TV Show,2019,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies",This global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what's funny around the world.,This global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what'...
5,funny stand up comedy,0.5983,Todd Glass: Stand-Up Special,Movie,2012,TV-MA,Stand-Up Comedy,"Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments and being afraid of the dark.","Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments an..."
1,slow emotional romance,0.5842,Equals,Movie,2015,PG-13,"Dramas, Romantic Movies, Sci-Fi & Fantasy",Two young lovers depart from the norm simply by having romantic feelings for each other in a society where humans have been relieved of all emotions.,Two young lovers depart from the norm simply by having romantic feelings for each other in a society where humans have b...
2,slow emotional romance,0.568,Amar,Movie,2017,TV-MA,"Dramas, International Movies, Romantic Movies","Young Laura and Carlos experience the intensity and fragility of first love, as life realities gradually tarnish their idealized notions of romance.","Young Laura and Carlos experience the intensity and fragility of first love, as life realities gradually tarnish their i..."
3,slow emotional romance,0.5489,I Need Romance,TV Show,2021,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to restore her belief in love.","A workaholic who lost interest in romance reunites with an old flame and gifted music composer, who's determined to rest..."
4,slow emotional romance,0.5225,Isa Pa with Feelings,Movie,2019,TV-G,"International Movies, Romantic Movies","When an aspiring architect falls for her Deaf neighbor, they develop a connection and set out to form their own love language despite their differences.","When an aspiring architect falls for her Deaf neighbor, they develop a connection and set out to form their own love lan..."
5,slow emotional romance,0.5192,Heartthrob,Movie,2017,TV-MA,Thrillers,"A shy, brilliant boy and a popular girl fall into an unexpected romance. But as their bond deepens, his attraction begins taking on dark overtones.","A shy, brilliant boy and a popular girl fall into an unexpected romance. But as their bond deepens, his attraction begin..."
1,political crime thriller,0.5964,Dark Crimes,Movie,2016,R,"Dramas, Thrillers",A detective on a cold murder case discovers that a famous writer’s latest novel contains details chillingly similar to the crime he’s investigating.,A detective on a cold murder case discovers that a famous writer’s latest novel contains details chillingly similar to t...
2,political crime thriller,0.589,1983,TV Show,2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades.","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyranni..."
3,political crime thriller,0.586,A Perfect Crime,TV Show,2020,TV-14,"Crime TV Shows, Docuseries, International TV Shows","This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.","This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of German..."
4,political crime thriller,0.5848,4th Republic,Movie,2019,TV-MA,"Dramas, International Movies, Thrillers","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.","After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corr..."
5,political crime thriller,0.5792,Small Town Crime,Movie,2017,R,Thrillers,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption that takes him down a dark path.","When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer — an act of self-redemption tha..."
