query_input,resolved_title,match_type,rank,query,similarity_score,title,type,release_year,rating,listed_in,description,description_preview
Narcos,Narcos,exact,1,Narcos,0.6551,Inside the Real Narcos,TV Show,2018,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","Exposing a rarely seen perspective on the drug wars, ex-Special Forces commando Jason Fox interviews dangerous traffickers and cartel members.","Exposing a rarely seen perspective on the drug wars, ex-Special Forces commando Jason Fox interviews dangerous trafficke..."
Narcos,Narcos,exact,2,Narcos,0.631,Narcoworld: Dope Stories,TV Show,2019,TV-MA,"Crime TV Shows, Docuseries","Ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world.","Ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world."
Narcos,Narcos,exact,3,Narcos,0.6211,Narcos: Mexico,TV Show,2020,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.","Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Gu..."
Narcos,Narcos,exact,5,Narcos,0.5245,The Club,TV Show,2019,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","A band of misfit rich kids in Mexico strike out on their own selling MDMA and quickly run into trouble with other narcos, the law and their families.",A band of misfit rich kids in Mexico strike out on their own selling MDMA and quickly run into trouble with other narcos...
Narcos,Narcos,exact,6,Narcos,0.5219,La Línea: Shadow of Narco,TV Show,2020,TV-MA,"Crime TV Shows, Docuseries, International TV Shows","A stone's throw from Africa, the Spanish beach town of La Línea is a drug smuggling hot spot. But the police and mayor are determined to change that.","A stone's throw from Africa, the Spanish beach town of La Línea is a drug smuggling hot spot. But the police and mayor a..."
The Crowm,The Crow,approx,2,The Crow,0.4988,Black Crows,TV Show,2017,TV-14,"International TV Shows, TV Dramas","This drama portrays women and kids living under the Islamic State group: a Yazidi slave, an undercover reporter, a recruited mom and child snipers.","This drama portrays women and kids living under the Islamic State group: a Yazidi slave, an undercover reporter, a recru..."
The Crowm,The Crow,approx,3,The Crow,0.4322,Club of Crows,TV Show,2019,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Comedies",A brother and sister battle high expectations and each other after inheriting a soccer team. A series from the creators of “Nosotros los Nobles.”,A brother and sister battle high expectations and each other after inheriting a soccer team. A series from the creators ...
The Crowm,The Crow,approx,4,The Crow,0.3772,The Angry Birds Movie 2,Movie,2019,PG,"Children & Family Movies, Comedies",Enemies turn into frenemies when the Pigs call for a truce with the Birds to unite against a formidable new foe that’s threatening all of their homes.,Enemies turn into frenemies when the Pigs call for a truce with the Birds to unite against a formidable new foe that’s t...
The Crowm,The Crow,approx,5,The Crow,0.3753,National Bird,Movie,2016,TV-MA,Documentaries,"Three former military operatives offer disturbing, firsthand accounts of the deadly impact that U.S. drone warfare has had on civilians overseas.","Three former military operatives offer disturbing, firsthand accounts of the deadly impact that U.S. drone warfare has h..."
The Crowm,The Crow,approx,6,The Crow,0.3656,Legend of the Guardians: The Owls of Ga'Hoole,Movie,2010,PG,Children & Family Movies,"Soren, a barn owl kidnapped from his peaceful forest home, is brought to an orphanage where he must train to become a soldier.","Soren, a barn owl kidnapped from his peaceful forest home, is brought to an orphanage where he must train to become a so..."
Money Heist,Heist,token_overlap,1,Heist,0.5149,American Heist,Movie,2014,R,"Action & Adventure, Dramas",An ex-con is just getting his life back on track when his older brother is released from prison and drags him into the underworld for one final heist.,An ex-con is just getting his life back on track when his older brother is released from prison and drags him into the u...
Money Heist,Heist,token_overlap,2,Heist,0.5036,The Great Heist,TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","In 1994, a team of thieves plans an ambitious heist to steal millions from Colombia's Bank of the Republic. Inspired by true events.","In 1994, a team of thieves plans an ambitious heist to steal millions from Colombia's Bank of the Republic. Inspired by ..."
Money Heist,Heist,token_overlap,3,Heist,0.4701,Money Heist: The Phenomenon,Movie,2020,TV-MA,"Documentaries, International Movies","A documentary on why and how ""Money Heist"" sparked a wave of enthusiasm around the world for a lovable group of thieves and their professor.","A documentary on why and how ""Money Heist"" sparked a wave of enthusiasm around the world for a lovable group of thieves ..."
Money Heist,Heist,token_overlap,4,Heist,0.4573,Bitcoin Heist,Movie,2016,TV-14,"Action & Adventure, Comedies, International Movies","A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost.""","A unconventional, efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker ..."
Money Heist,Heist,token_overlap,5,Heist,0.4541,Money Heist: From Tokyo to Berlin,TV Show,2021,TV-MA,"Docuseries, International TV Shows, Spanish-Language TV Shows","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series.","The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic..."
